seq,keys,vals,grp
1,Brand,apple,1
2,Category,watch,1
3,ModelName,ipad,1
4,Brand,apple,2
5,Category,watch,2
6,ModelName,series,2
7,ModelName,3,2
8,Brand,apple,3
9,Category,watch,3
10,ModelName,series,3
11,ModelName,2,3
12,Brand,apple,4
13,Category,laptop,4
14,Brand,apple,5
15,ModelName,homepod,5
16,Brand,apple,6
17,Category,watch,6
18,ModelName,series,6
19,ModelName,3,6
20,ScreenSize,42mm,6
21,Brand,apple,7
22,Category,tv,7
23,ModelName,iphone,7
24,ModelName,x,7
25,Category,airpods,7
26,O,wireless,7
27,ModelName,amiibo,7
28,Brand,amazon,8
29,ModelName,fire,8
30,ModelName,stick,8
31,O,all-in-one,8
32,Category,computers,8
33,Brand,arlo,9
34,ModelName,pro,9
35,Category,air,9
36,Category,fryer,9
37,ModelName,iphone,9
38,Brand,asus,10
39,Category,laptop,10
40,ModelName,ipad,10
41,ModelName,pro,10
42,ScreenSize,10.5,10
43,ScreenSize,inch,10
44,Category,antennas,10
45,Category,hdtv,10
46,Category,antenna,10
47,ModelName,alienware,10
48,Category,laptop,10
49,Brand,apple,11
50,Category,watch,11
51,ModelName,ipad,11
52,Brand,apple,12
53,Category,watch,12
54,ModelName,series,12
55,ModelName,3,12
56,Brand,apple,13
57,Category,watch,13
58,ModelName,series,13
59,ModelName,2,13
60,Brand,apple,14
61,Category,laptop,14
62,Brand,apple,15
63,Category,homepod,15
64,Brand,apple,16
65,Category,watch,16
66,ModelName,series,16
67,ModelName,3,16
68,ScreenSize,42mm,16
69,Brand,apple,17
70,Category,tv,17
71,ModelName,iphone,17
72,ModelName,x,17
73,Category,airpods,17
74,O,wireless,17
75,Brand,beats,18
76,ModelName,solo3,18
77,O,wireless,18
78,Brand,beats,19
79,O,wireless,19
80,O,bluetooth,19
81,Category,speakers,19
82,Brand,bose,20
83,O,wireless,20
84,Category,headphones,20
85,Category,blu-ray,20
86,O,bluetooth,20
87,Category,headphones,20
88,Brand,beats,21
89,ModelName,studio,21
90,O,wireless,21
91,Brand,beats,22
92,Category,headphones,22
93,Category,chromebook,22
94,Category,camera,22
95,ModelName,call,22
96,ModelName,of,22
97,ModelName,duty,22
98,O,world,22
99,O,war,22
100,O,2,22
101,Category,cell,22
102,Category,phones,22
103,Category,chromecast,22
104,Brand,canon,23
105,Category,camera,23
106,Category,computer,23
107,Category,computer,23
108,Category,monitors,23
109,ModelName,iphone,23
110,ModelName,x,23
111,Category,case,23
112,ModelName,call,23
113,ModelName,of,23
114,ModelName,duty,23
115,O,wwii,23
116,Category,desktop,23
117,Category,computers,23
118,Category,dishwasher,23
119,Brand,dell,24
120,Category,laptop,24
121,Category,dvd,24
122,Category,player,24
123,Category,drones,24
124,O,with,24
125,O,camera,24
126,Category,dryer,24
127,Brand,dyson,25
128,Category,vacuum,25
129,Brand,dell,26
130,ModelName,xps,26
131,ModelName,13,26
132,O,external,26
133,Category,hard,26
134,Category,drive,26
135,O,external,26
136,Category,hard,26
137,Category,drive,26
138,Brand,essential,27
139,Category,phone,27
140,Category,earbud,27
141,Category,headphones,27
142,ModelName,echo,27
143,ModelName,dot,27
144,O,ethernet,27
145,Category,cable,27
146,Category,earphones,27
147,ModelName,easystore,27
148,Storage,8tb,27
149,Category,refrigerator,27
150,Brand,fitbit,28
151,ModelName,fire,28
152,ModelName,stick,28
153,Brand,fingerlings,29
154,O,baby,29
155,O,monkeys,29
156,ModelName,xbox,29
157,ModelName,one,29
158,ModelName,x,29
159,Brand,fitbit,30
160,ModelName,charge,30
161,ModelName,2,30
162,Brand,fitbit,31
163,ModelName,ionic,31
164,Category,freezer,31
165,Brand,gopro,32
166,O,gaming,32
167,Category,laptop,32
168,Category,gaming,32
169,Category,desktop,32
170,ModelName,google,32
171,ModelName,home,32
172,Category,graphics,32
173,Category,card,32
174,Brand,google,33
175,ModelName,home,33
176,ModelName,mini,33
177,Category,gps,33
178,Category,navigation,33
179,Brand,google,34
180,Brand,pixel,35
181,O,2,35
182,Category,gps,35
183,O,for,35
184,O,cars,35
185,Category,television,35
186,Category,headphones,35
187,Brand,hp,36
188,Category,laptop,36
189,ModelName,horizon,36
190,ModelName,zero,36
191,ModelName,dawn,36
192,Category,hard,36
193,Category,drive,36
194,Brand,hp,37
195,ModelName,spectre,37
196,ModelName,x360,37
197,Category,home,37
198,Category,theater,37
199,O,system,37
200,ModelName,horizon,37
201,O,zero,37
202,O,dawn,37
203,O,ps4,37
204,Category,hoverboard,37
205,ModelName,ipad,37
206,ModelName,iphone,37
207,ModelName,x,37
208,ModelName,ipad,37
209,ModelName,pro,37
210,ScreenSize,10.5,37
211,ScreenSize,inch,37
212,ModelName,iphone,37
213,ModelName,x,37
214,Category,case,37
215,ModelName,ipad,37
216,ModelName,pro,37
217,ScreenSize,12.9,37
218,ScreenSize,inch,37
219,ModelName,iphone,37
220,ModelName,8,37
221,ModelName,iphone,37
222,ModelName,6,37
223,ModelName,ipad,37
224,ModelName,mini,37
225,ModelName,iphone,37
226,ModelName,7,37
227,ModelName,plus,37
228,Brand,apple,38
229,Category,watch,38
230,Brand,jbl,39
231,Category,bluetooth,39
232,Category,speaker,39
233,Brand,jaybird,40
234,Brand,jaybird,41
235,ModelName,x3,41
236,Brand,jbl,42
237,ModelName,charge,42
238,ModelName,3,42
239,Brand,jbl,43
240,O,wireless,43
241,Category,headphones,43
242,Brand,jaybird,44
243,ModelName,freedom,44
244,ModelName,f5,44
245,Brand,jaybird,45
246,ModelName,freedom,45
247,ModelName,just,45
248,ModelName,dance,45
249,ModelName,2018,45
250,Brand,jbl,46
251,ModelName,flip,46
252,ModelName,4,46
253,Category,bluetooth,46
254,Category,speaker,46
255,Brand,kitchenaid,47
256,Category,stand,47
257,Category,mixer,47
258,Brand,keurig,48
259,ModelName,kindle,48
260,ModelName,fire,48
261,Category,keyboard,48
262,O,4k,48
263,Category,tv,48
264,Brand,kitchenaid,49
265,Brand,klipsch,50
266,Category,speakers,50
267,O,kids,50
268,Category,tablets,50
269,Brand,sony,51
270,O,4k,51
271,Category,karaoke,51
272,Category,machine,51
273,Category,laptop,51
274,Category,laptops,51
275,O,under,51
276,Price,$300,51
277,Category,laptops,51
278,O,under,51
279,Price,$500,51
280,Brand,lenovo,52
281,Category,laptop,52
282,Brand,lg,53
283,Category,tv,53
284,Brand,laptops,54
285,O,under,54
286,Price,$200,54
287,Brand,logitech,55
288,Category,mouse,55
289,Brand,lenovo,56
290,ModelName,yoga,56
291,ModelName,720,56
292,Brand,lg,57
293,ModelName,oled,57
294,ModelName,65,57
295,ModelName,macbook,57
296,ModelName,pro,57
297,ModelName,macbook,57
298,ModelName,ipad,57
299,ModelName,mini,57
300,ModelName,macbook,57
301,ModelName,air,57
302,Category,monitor,57
303,Category,microwave,57
304,Category,micro,57
305,Category,sd,57
306,Category,cell,57
307,Category,phones,57
308,Category,microphone,57
309,O,mini,57
310,Category,refrigerators,57
311,Brand,nintendo,58
312,ModelName,switch,58
313,Brand,nintendo,59
314,ModelName,classic,59
315,ModelName,edition,59
316,ModelName,note8,59
317,Brand,nest,60
318,Category,thermostat,60
319,ModelName,nintendo,60
320,O,switch,60
321,Category,games,60
322,Brand,nintendo,61
323,Category,switch,61
324,Category,console,61
325,ModelName,need,61
326,ModelName,for,61
327,ModelName,speed,61
328,O,payback,61
329,Brand,nvidia,62
330,O,shield,62
331,Category,tv,62
332,ModelName,note8,62
333,O,unlocked,62
334,Brand,nintendo,63
335,ModelName,3ds,63
336,ModelName,xl,63
337,Category,console,63
338,ModelName,xbox,63
339,ModelName,one,63
340,ModelName,x,63
341,ModelName,xbox,63
342,ModelName,one,63
343,Brand,oculus,64
344,ModelName,rift,64
345,O,oled,64
346,Category,tv,64
347,O,over,64
348,O,the,64
349,O,range,64
350,Category,microwave,64
351,Brand,otterbox,65
352,Brand,onkyo,66
353,Category,receivers,66
354,ModelName,call,66
355,ModelName,of,66
356,ModelName,duty,66
357,ModelName,world,66
358,ModelName,war,66
359,ModelName,2,66
360,ModelName,playstation,66
361,ModelName,4,66
362,Category,projector,66
363,ModelName,iphone,66
364,ModelName,x,66
